config_name,epoch,accuracy,loss,val_accuracy,val_loss
baseline,1,0.2857142984867096,1.1123595237731934,0.3333333432674408,1.0989912748336792
baseline,2,0.3055555522441864,1.1048420667648315,0.3333333432674408,1.0955390930175781
baseline,3,0.4047619104385376,1.0948463678359985,0.5555555820465088,1.0861135721206665
baseline,4,0.488095223903656,1.080762267112732,0.5555555820465088,1.0624617338180542
baseline,5,0.5952380895614624,1.0426634550094604,0.5555555820465088,1.0111502408981323
baseline,6,0.6547619104385376,0.9687016606330872,0.6111111044883728,0.9189159274101257
baseline,7,0.6904761791229248,0.8647952079772949,0.7222222089767456,0.8095691204071045
baseline,8,0.7142857313156128,0.7671470046043396,0.7777777910232544,0.7394776344299316
baseline,9,0.761904776096344,0.6977694034576416,0.8333333134651184,0.6994282603263855
baseline,10,0.7420634627342224,0.6629458069801331,0.7222222089767456,0.6931653022766113
baseline,11,0.7777777910232544,0.6272259950637817,0.8333333134651184,0.6581129431724548
baseline,12,0.8055555820465088,0.6296911239624023,0.7777777910232544,0.6821030378341675
baseline,13,0.7936508059501648,0.6171828508377075,0.8333333134651184,0.6346720457077026
baseline,14,0.8134920597076416,0.5969710350036621,0.8333333134651184,0.6428321599960327
baseline,15,0.7817460298538208,0.6212795972824097,0.7777777910232544,0.6361659169197083
baseline,16,0.7976190447807312,0.6066555380821228,0.8333333134651184,0.5946381092071533
baseline,17,0.841269850730896,0.5690609216690063,0.8333333134651184,0.6042633652687073
baseline,18,0.817460298538208,0.5617117285728455,0.8888888955116272,0.5851916670799255
baseline,19,0.8015872836112976,0.5598980784416199,0.8888888955116272,0.593906044960022
baseline,20,0.841269850730896,0.5325351357460022,0.8888888955116272,0.5781019926071167
lower_dropout,1,0.3095238208770752,1.108988881111145,0.3333333432674408,1.0962576866149902
lower_dropout,2,0.2976190447807312,1.099029779434204,0.3333333432674408,1.0908938646316528
lower_dropout,3,0.5,1.0790139436721802,0.5555555820465088,1.0715607404708862
lower_dropout,4,0.5634920597076416,1.0551543235778809,0.6111111044883728,1.034368634223938
lower_dropout,5,0.6547619104385376,0.9872791171073914,0.5555555820465088,0.9598244428634644
lower_dropout,6,0.6507936716079712,0.8789293766021729,0.5555555820465088,0.8729060292243958
lower_dropout,7,0.6507936716079712,0.7812692523002625,0.7777777910232544,0.8113692998886108
lower_dropout,8,0.7023809552192688,0.7253387570381165,0.7777777910232544,0.7714048027992249
lower_dropout,9,0.7460317611694336,0.6861926317214966,0.7777777910232544,0.7295819520950317
lower_dropout,10,0.7777777910232544,0.6221631169319153,0.7777777910232544,0.7116145491600037
lower_dropout,11,0.7777777910232544,0.6172004342079163,0.7777777910232544,0.6685138940811157
lower_dropout,12,0.8253968358039856,0.5885444283485413,0.7777777910232544,0.6964170932769775
lower_dropout,13,0.8095238208770752,0.5895687937736511,0.8333333134651184,0.6334450244903564
lower_dropout,14,0.829365074634552,0.5701969265937805,0.7777777910232544,0.6409841179847717
lower_dropout,15,0.8214285969734192,0.5600199103355408,0.8333333134651184,0.6111254692077637
lower_dropout,16,0.8095238208770752,0.5451006889343262,0.8333333134651184,0.581076443195343
lower_dropout,17,0.8214285969734192,0.5251932144165039,0.8333333134651184,0.5780169367790222
lower_dropout,18,0.8373016119003296,0.5340572595596313,0.8888888955116272,0.5492373108863831
lower_dropout,19,0.8134920597076416,0.497387170791626,0.8888888955116272,0.5531319975852966
lower_dropout,20,0.841269850730896,0.4911220669746399,0.8888888955116272,0.5286819934844971
wider_fusion,1,0.3174603283405304,1.1088272333145142,0.3333333432674408,1.0958086252212524
wider_fusion,2,0.3571428656578064,1.0987836122512817,0.5,1.0901578664779663
wider_fusion,3,0.3888888955116272,1.0863542556762695,0.6111111044883728,1.0774805545806885
wider_fusion,4,0.5436508059501648,1.0637649297714233,0.7222222089767456,1.0494880676269531
wider_fusion,5,0.6309523582458496,1.021725058555603,0.5555555820465088,0.9959568381309509
wider_fusion,6,0.6666666865348816,0.9416284561157227,0.5555555820465088,0.9142228364944458
wider_fusion,7,0.670634925365448,0.845655083656311,0.7222222089767456,0.8457452058792114
wider_fusion,8,0.7182539701461792,0.7707452178001404,0.7222222089767456,0.795333743095398
wider_fusion,9,0.7976190447807312,0.7029942274093628,0.7777777910232544,0.7442412972450256
wider_fusion,10,0.7976190447807312,0.65969318151474,0.7777777910232544,0.7151290774345398
wider_fusion,11,0.7936508059501648,0.63908851146698,0.8333333134651184,0.6665229797363281
wider_fusion,12,0.8333333134651184,0.5924518704414368,0.7777777910232544,0.6711335182189941
wider_fusion,13,0.7857142686843872,0.6000673174858093,0.8333333134651184,0.6451727747917175
wider_fusion,14,0.8253968358039856,0.5906680822372437,0.8333333134651184,0.6473835110664368
wider_fusion,15,0.8015872836112976,0.6065563559532166,0.7777777910232544,0.6335833668708801
wider_fusion,16,0.8015872836112976,0.5895076990127563,0.8333333134651184,0.608992338180542
wider_fusion,17,0.8095238208770752,0.5516676306724548,0.8333333134651184,0.5985460877418518
wider_fusion,18,0.8214285969734192,0.5324254035949707,0.8333333134651184,0.5932397246360779
wider_fusion,19,0.8095238208770752,0.5611168742179871,0.8333333134651184,0.5912848114967346
wider_fusion,20,0.8055555820465088,0.5496964454650879,0.8333333134651184,0.5878847241401672
