epoch,accuracy,loss,val_accuracy,val_loss
1,0.2857142984867096,1.1123595237731934,0.3333333432674408,1.0989912748336792
2,0.3055555522441864,1.1048420667648315,0.3333333432674408,1.0955390930175781
3,0.4047619104385376,1.0948463678359985,0.5555555820465088,1.0861135721206665
4,0.488095223903656,1.080762267112732,0.5555555820465088,1.0624617338180542
5,0.5952380895614624,1.0426634550094604,0.5555555820465088,1.0111502408981323
6,0.6547619104385376,0.9687016606330872,0.6111111044883728,0.9189159274101257
7,0.6904761791229248,0.8647952079772949,0.7222222089767456,0.8095691204071045
8,0.7142857313156128,0.7671470046043396,0.7777777910232544,0.7394776344299316
9,0.761904776096344,0.6977694034576416,0.8333333134651184,0.6994282603263855
10,0.7420634627342224,0.6629458069801331,0.7222222089767456,0.6931653022766113
11,0.7777777910232544,0.6272259950637817,0.8333333134651184,0.6581129431724548
12,0.8055555820465088,0.6296911239624023,0.7777777910232544,0.6821030378341675
13,0.7936508059501648,0.6171828508377075,0.8333333134651184,0.6346720457077026
14,0.8134920597076416,0.5969710350036621,0.8333333134651184,0.6428321599960327
15,0.7817460298538208,0.6212795972824097,0.7777777910232544,0.6361659169197083
16,0.7976190447807312,0.6066555380821228,0.8333333134651184,0.5946381092071533
17,0.841269850730896,0.5690609216690063,0.8333333134651184,0.6042633652687073
18,0.817460298538208,0.5617117285728455,0.8888888955116272,0.5851916670799255
19,0.8015872836112976,0.5598980784416199,0.8888888955116272,0.593906044960022
20,0.841269850730896,0.5325351357460022,0.8888888955116272,0.5781019926071167
21,0.829365074634552,0.5731520056724548,0.8888888955116272,0.5704796314239502
22,0.841269850730896,0.556725800037384,0.8888888955116272,0.5464614033699036
23,0.8253968358039856,0.5326883792877197,0.8888888955116272,0.5494042634963989
24,0.8571428656578064,0.4785098135471344,0.8888888955116272,0.5262473821640015
25,0.8492063283920288,0.5187880396842957,0.8888888955116272,0.5368998646736145
26,0.8452380895614624,0.5269402861595154,0.8888888955116272,0.5237349271774292
27,0.841269850730896,0.4807417094707489,0.8888888955116272,0.5120164155960083
28,0.841269850730896,0.4986535906791687,0.8888888955116272,0.49695417284965515
29,0.85317462682724,0.4997996389865875,0.8888888955116272,0.4985957741737366
30,0.8650793433189392,0.4975886642932892,0.8888888955116272,0.4707356095314026
