epoch,accuracy,loss,val_accuracy,val_loss
1,0.4047619104385376,1.097476840019226,0.5555555820465088,1.093924641609192
2,0.5634920597076416,1.0894604921340942,0.5555555820465088,1.0874097347259521
3,0.5714285969734192,1.0829583406448364,0.6111111044883728,1.077141523361206
4,0.6071428656578064,1.069985032081604,0.6111111044883728,1.0601506233215332
5,0.6746031641960144,1.047210693359375,0.7222222089767456,1.0350967645645142
6,0.6984127163887024,1.0254589319229126,0.7222222089767456,1.0027943849563599
7,0.7063491940498352,0.9804884791374207,0.7222222089767456,0.9622188806533813
8,0.7222222089767456,0.9403485059738159,0.7222222089767456,0.9162394404411316
9,0.7222222089767456,0.8791952729225159,0.7222222089767456,0.8675843477249146
10,0.7460317611694336,0.8285399675369263,0.7222222089767456,0.8241526484489441
11,0.7301587462425232,0.7804446220397949,0.7222222089767456,0.7872714400291443
12,0.7420634627342224,0.7620894908905029,0.7222222089767456,0.7569310069084167
13,0.7658730149269104,0.7279722094535828,0.7222222089767456,0.7377094030380249
14,0.773809552192688,0.6879956722259521,0.7222222089767456,0.7182457447052002
15,0.761904776096344,0.6769067645072937,0.7222222089767456,0.7026265263557434
16,0.7817460298538208,0.6410036683082581,0.7777777910232544,0.6856669187545776
17,0.7936508059501648,0.6368806958198547,0.7222222089767456,0.678794801235199
18,0.7896825671195984,0.6309552192687988,0.7777777910232544,0.6674914360046387
19,0.7817460298538208,0.5961187481880188,0.7777777910232544,0.6589121222496033
20,0.7777777910232544,0.6183355450630188,0.7222222089767456,0.6575725078582764
21,0.7896825671195984,0.6126562356948853,0.7222222089767456,0.6480696201324463
22,0.7976190447807312,0.5646021366119385,0.7777777910232544,0.6301255822181702
23,0.7857142686843872,0.5710046887397766,0.7222222089767456,0.6412888765335083
24,0.7777777910232544,0.5842915773391724,0.7777777910232544,0.6224837899208069
25,0.773809552192688,0.5869284272193909,0.7777777910232544,0.615338921546936
26,0.7936508059501648,0.6067813634872437,0.7777777910232544,0.6167516112327576
27,0.7817460298538208,0.5700131058692932,0.8333333134651184,0.6164745092391968
28,0.7976190447807312,0.5920760631561279,0.7777777910232544,0.5996555685997009
29,0.8055555820465088,0.5662113428115845,0.7777777910232544,0.6009469032287598
30,0.7936508059501648,0.5451949834823608,0.8333333134651184,0.5949446558952332
31,0.8055555820465088,0.5489429235458374,0.8333333134651184,0.577695906162262
32,0.8134920597076416,0.5370813012123108,0.8333333134651184,0.5637194514274597
33,0.8253968358039856,0.5448424220085144,0.8333333134651184,0.5569884777069092
34,0.8015872836112976,0.567767322063446,0.8333333134651184,0.5537177324295044
35,0.8214285969734192,0.5170784592628479,0.8333333134651184,0.551302969455719
36,0.8015872836112976,0.5325732231140137,0.8333333134651184,0.5384268164634705
37,0.8134920597076416,0.5205039978027344,0.8333333134651184,0.5269150733947754
38,0.8015872836112976,0.5280880928039551,0.8333333134651184,0.512261688709259
39,0.8095238208770752,0.5105884075164795,0.8333333134651184,0.5134111642837524
40,0.8055555820465088,0.5090813636779785,0.8333333134651184,0.5054795742034912
