epoch,accuracy,loss,val_accuracy,val_loss
1,0.3373015820980072,1.1019327640533447,0.3333333432674408,1.0988976955413818
2,0.3174603283405304,1.1014766693115234,0.3333333432674408,1.0993365049362183
3,0.3174603283405304,1.0988799333572388,0.3333333432674408,1.0987499952316284
4,0.3095238208770752,1.1016862392425537,0.3333333432674408,1.0987001657485962
5,0.3333333432674408,1.1003421545028687,0.3333333432674408,1.0986733436584473
6,0.3373015820980072,1.0992612838745117,0.3333333432674408,1.098612666130066
7,0.3650793731212616,1.0972702503204346,0.3333333432674408,1.0986206531524658
8,0.3134920597076416,1.0999059677124023,0.3333333432674408,1.098804235458374
9,0.2817460298538208,1.1005573272705078,0.3333333432674408,1.0986391305923462
10,0.3095238208770752,1.0996888875961304,0.3333333432674408,1.0986722707748413
